context,state,selector,foreground,background,kind,ratio,required,result,how
(prefers-contrast: more),resting,.cal-chip.not_delivered,#101A26,#b0b7bb,text,8.63,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.cal-chip.not_delivered,#101A26,#b0b7bb,text,8.63,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.cal-chip.rescheduled,#101A26,#6a3800,text,1.82,4.5,FAIL,same-rule; size unknown - assumed body
default,resting,.cal-chip.rescheduled,#101A26,#c97a00,text,5.23,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.sess-card.delivered,#004d24,#f0faf5,boundary-advisory,9.44,3.0,PASS,same-rule
default,resting,.sess-card.delivered,#1a7f4b,#f0faf5,boundary-advisory,4.71,3.0,PASS,same-rule
(prefers-contrast: more),resting,.sess-card.cancelled,#cc0011,#fff5f5,boundary-advisory,5.49,3.0,PASS,same-rule
default,resting,.sess-card.cancelled,#e51937,#fff5f5,boundary-advisory,4.34,3.0,PASS,same-rule
(prefers-contrast: more),resting,.sess-card.rescheduled,#6a3800,#fffbf0,boundary-advisory,9.32,3.0,PASS,same-rule
default,resting,.sess-card.rescheduled,#c97a00,#fffbf0,boundary-advisory,3.24,3.0,PASS,same-rule
(prefers-contrast: more),resting,.sess-card.not_delivered,#b0b7bb,#f8f9fa,boundary-advisory,1.93,3.0,FAIL,same-rule
default,resting,.sess-card.not_delivered,#b0b7bb,#f8f9fa,boundary-advisory,1.93,3.0,FAIL,same-rule
(prefers-contrast: more),resting,#page-service-desk .sd-filter-bar button.active,#fff,#004b8d,text,8.78,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,#page-service-desk .sd-filter-bar button.active,#004b8d,#004b8d,boundary-advisory,1.0,3.0,FAIL,same-rule
default,resting,#page-service-desk .sd-filter-bar button.active,#fff,#004b8d,text,8.78,4.5,PASS,same-rule; size unknown - assumed body
default,resting,#page-service-desk .sd-filter-bar button.active,#004b8d,#004b8d,boundary-advisory,1.0,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.badge-open,#004b8d,#e0f0fa,text,7.53,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.badge-in_progress,#7a4800,#fff3cd,text,6.88,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.badge-in_progress,#7a4800,#fff3cd,text,6.88,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.badge-resolved,#145f38,#d4f0e3,text,6.38,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,.exp-item:hover,#51b0e3,#fafbff,boundary-advisory,2.34,3.0,FAIL,same-rule
default,hover,.exp-item:hover,#51b0e3,#fafbff,boundary-advisory,2.34,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.lh-btn,#003399,#c8e6ff,text,8.39,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,.lh-btn:hover,#003399,#cce0ff,text,8.11,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.lh-btn:hover,#004b8d,#cce0ff,text,6.56,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.res-chip.ok,#a8d5bc,#c0f0d8,boundary-advisory,1.29,3.0,FAIL,same-rule
default,resting,.res-chip.ok,#a8d5bc,#d4f0e3,boundary-advisory,1.35,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.res-chip.busy,#f5b0b0,#fde8e8,boundary-advisory,1.53,3.0,FAIL,same-rule
default,resting,.res-chip.busy,#f5b0b0,#fde8e8,boundary-advisory,1.53,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.scope-banner.sb-national .sb-tag,#fff,#7c3aed,text,5.7,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.scope-banner.sb-national .sb-tag,#fff,#7c3aed,text,5.7,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.scope-banner.sb-auditor .sb-tag,#fff,#455560,text,7.72,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.scope-banner.sb-auditor .sb-tag,#fff,#455560,text,7.72,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.scope-banner.sb-system_admin .sb-tag,#fff,#1a1a2e,text,17.06,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.scope-banner.sb-system_admin .sb-tag,#fff,#1a1a2e,text,17.06,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.mode-banner,#5a4200,#fffbe6,text,9.12,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.mode-banner,#5a4200,#fffbe6,text,9.12,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.mode-banner.intervention,#7a1010,#fef0f0,text,9.92,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.mode-banner.intervention,#7a1010,#fef0f0,text,9.92,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.data-conf-bar,#111111,#ffe090,text,14.67,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.data-conf-bar,#6a3800,#ffe090,boundary-advisory,7.49,3.0,PASS,same-rule
default,resting,.data-conf-bar,#3a4a55,#fff3cd,text,8.27,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.data-conf-bar,#c97a00,#fff3cd,boundary-advisory,3.02,3.0,PASS,same-rule
(prefers-contrast: more),resting,.data-conf-bar .dcb-label,#7a5200,#ffe090,text,5.38,4.5,PASS,ancestor .data-conf-bar; size unknown - assumed body
(prefers-contrast: more),resting,.data-conf-bar.ok,#004d24,#c0f0d8,boundary-advisory,8.0,3.0,PASS,same-rule
default,resting,.data-conf-bar.ok,#1a7f4b,#d4f0e3,boundary-advisory,4.15,3.0,PASS,same-rule
default,resting,.cm-cell-not_delivered,#455560,#f0f0f0,text,6.77,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.cm-cell-cancelled,#b5002b,#f8f0f0,text,6.24,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.cm-cell-cancelled,#b5002b,#f8f0f0,text,6.24,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.cm-cell-delivered_with_issue,#7a4a00,#fdf2d8,text,6.72,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.cm-cell-delivered_with_issue,#7a4a00,#fdf2d8,text,6.72,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.fac-sugg-pill.conflict,#b3122c,#fde8e8,text,5.88,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.fac-sugg-pill.conflict,#b3122c,#fde8e8,text,5.88,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.fac-sugg-pill.unavailable,#5c6a76,#f0f0f0,text,4.88,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.fc-pill.critical,#b00010,#fde8e8,text,6.27,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.fc-pill.critical,#d41733,#fde8e8,text,4.51,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.fc-pill.not-configured,#111111,#f0f0f0,text,16.57,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.fc-pill.not-configured,#3a4a55,#f0f5fa,text,8.36,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),hover,".wiz-curr-item:hover,.wiz-curr-item.sel",#002f65,#c8e6ff,text,10.17,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.maint-banner.pending,#a06200,#c97a00,boundary-advisory,1.48,3.0,FAIL,same-rule
default,resting,.maint-banner.pending,#a06200,#c97a00,boundary-advisory,1.48,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.debug-bar,#9fd0f0,#11202e,text,10.04,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.debug-bar,#9fd0f0,#11202e,text,10.04,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.debug-bar b,#fff,#11202e,text,16.54,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
default,resting,.debug-bar b,#fff,#11202e,text,16.54,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
(prefers-contrast: more),resting,.debug-bar .warn,#ffd36b,#11202e,text,11.64,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
default,resting,.debug-bar .warn,#ffd36b,#11202e,text,11.64,4.5,PASS,ancestor .debug-bar; size unknown - assumed body
default,resting,.sc-sqn-chip,#455560,#f4f8fc,text,7.23,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.ht::after,#fff,#1e2d3d,text,14.02,4.5,PASS,same-rule; size unknown - assumed body
default,resting,.ht::after,#fff,#1e2d3d,text,14.02,4.5,PASS,same-rule; size unknown - assumed body
(prefers-contrast: more),resting,.faq-cat-name::after,#404040,#777777,text,2.32,4.5,FAIL,inherited-fg + same-rule bg; size unknown - assumed body
default,resting,.faq-cat-name::after,#5c6a76,#e4edf5,text,4.69,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,.faq-item,#777777,#ffffff,boundary-advisory,4.48,3.0,PASS,same-rule
default,resting,.faq-item,#e4edf5,#ffffff,boundary-advisory,1.18,3.0,FAIL,same-rule
(prefers-contrast: more),resting,.faq-draft,#7a4800,#ffe090,text,5.92,4.5,PASS,same-rule; 9px body
(prefers-contrast: more),hover,.rte-btn:hover,#111111,#ffffff,text,18.88,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),hover,.rte-btn:hover,#555555,#ffffff,boundary-advisory,7.46,3.0,PASS,same-rule
default,hover,.rte-btn:hover,#3a4a55,#ffffff,text,9.17,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
default,hover,.rte-btn:hover,#7d8ea8,#ffffff,boundary-advisory,3.33,3.0,PASS,same-rule
default,resting,.rte-area,#5c6a76,#ffffff,text,5.56,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
(prefers-contrast: more),resting,"const info=getCurrentUnitInfo();
  document.getElementById('dash-title').textContent=info.name+' — Training Dashboard';
  const banner=document.getElementById('dash-setup-banner');
  if(banner)",#111111,#c8e6ff,text,14.58,4.5,PASS,same-rule; size unknown - assumed body
default,resting,"const info=getCurrentUnitInfo();
  document.getElementById('dash-title').textContent=info.name+' — Training Dashboard';
  const banner=document.getElementById('dash-setup-banner');
  if(banner)",#3a4a55,#e0f0fa,text,7.86,4.5,PASS,same-rule; size unknown - assumed body
