category,literal,occurrences,distinct_files,first_location
spacing,12mm,1,1,connected-frontend/index.html:133
spacing,32px 0 28px,1,1,connected-frontend/index.html:218
spacing,10px auto 0,1,1,connected-frontend/index.html:221
spacing,11px,1,1,connected-frontend/index.html:226
spacing,3px 10px,1,1,connected-frontend/index.html:248
spacing,6px 20px,1,1,connected-frontend/index.html:252
spacing,30px,1,1,connected-frontend/index.html:271
spacing,10px 18px 4px 30px,1,1,connected-frontend/index.html:274
spacing,24px 28px,1,1,connected-frontend/index.html:279
spacing,0 10px,1,1,connected-frontend/index.html:297
spacing,0 11px,1,1,connected-frontend/index.html:308
spacing,16px 18px,1,1,connected-frontend/index.html:321
spacing,-4px -6px,1,1,connected-frontend/index.html:342
spacing,10px 4px,1,1,connected-frontend/index.html:347
spacing,0 6px 0 0,1,1,connected-frontend/index.html:363
spacing,11px 14px,1,1,connected-frontend/index.html:377
spacing,14px 0,1,1,connected-frontend/index.html:403
spacing,-1px,1,1,connected-frontend/index.html:405
spacing,15px 16px,1,1,connected-frontend/index.html:429
spacing,18px 20px,1,1,connected-frontend/index.html:441
spacing,0 2px,1,1,connected-frontend/index.html:476
spacing,6px 4px,1,1,connected-frontend/index.html:503
spacing,8px 14px,1,1,connected-frontend/index.html:582
spacing,-2px,1,1,connected-frontend/index.html:582
spacing,10px 13px,1,1,connected-frontend/index.html:588
spacing,40px 20px,1,1,connected-frontend/index.html:603
spacing,0 auto,1,1,connected-frontend/index.html:606
spacing,10px 0 4px,1,1,connected-frontend/index.html:627
spacing,-14px,1,1,connected-frontend/index.html:630
spacing,24px 0 12px,1,1,connected-frontend/index.html:695
spacing,8px 0 6px,1,1,connected-frontend/index.html:706
spacing,0 0 16px,1,1,connected-frontend/index.html:748
spacing,6px 14px,1,1,connected-frontend/index.html:777
spacing,0 0 4px,1,1,connected-frontend/index.html:850
spacing,0 16px 12px,1,1,connected-frontend/index.html:931
spacing,0 0 8px,1,1,connected-frontend/index.html:968
spacing,1px 6px,1,1,connected-frontend/index.html:970
spacing,10px 16px 8px,1,1,connected-frontend/index.html:1048
spacing,8px 16px 10px,1,1,connected-frontend/index.html:1049
spacing,5px 4px,1,1,connected-frontend/index.html:1060
spacing,10px 18px,1,1,connected-frontend/index.html:1137
spacing,7px 11px,1,1,connected-frontend/index.html:1152
spacing,18px 0 6px,1,1,connected-frontend/index.html:1176
spacing,14px 0 4px,1,1,connected-frontend/index.html:1177
spacing,12px 0 4px,1,1,connected-frontend/index.html:1178
spacing,0 12px 12px 35px,1,1,connected-frontend/index.html:1208
spacing,0 7px,1,1,connected-frontend/index.html:1217
spacing,"18px 0"">checking your session…</div>",1,1,connected-frontend/index.html:1250
spacing,3px 20px 0,1,1,connected-frontend/index.html:1427
spacing,"8px"">at your current rate, how many planned sessions are at risk of not being delivered by year end?</div>",1,1,connected-frontend/index.html:1536
spacing,"8px"">year-to-date rate and current vs previous term. set the training term on each parade night to enable this view.</div>",1,1,connected-frontend/index.html:1629
spacing,"auto"" onclick=""_pnclearselection()"">clear selection</button>",1,1,connected-frontend/index.html:1749
spacing,"8px""><input type=""checkbox"" id=""curr-show-archived"" onchange=""_currtoggleshowarchived()""> show archived</label>",1,1,connected-frontend/index.html:1852
spacing,"0"">holiday periods</h2>",1,1,connected-frontend/index.html:1912
spacing,"0 0 10px"">planning status per training class — unplanned requirements, nights remaining, and available time blocks.</p>",1,1,connected-frontend/index.html:1922
spacing,"0"">wing hq events</h2>",1,1,connected-frontend/index.html:1930
spacing,"0"">anchor events</h2>",1,1,connected-frontend/index.html:1948
spacing,"4px""><input type=""checkbox"" id=""anch-show-archived"" onchange=""loadanchors(p.currentyearid)""> show archived</label>",1,1,connected-frontend/index.html:1950
spacing,"0"">mission backlog</h2>",1,1,connected-frontend/index.html:1984
spacing,"8px""><input type=""checkbox"" id=""fac-show-archived"" onchange=""_facstoggleshowarchived()""> show archived</label>",1,1,connected-frontend/index.html:2035
spacing,"16px"">",1,1,connected-frontend/index.html:2039
spacing,"8px"">rooms / training areas",1,1,connected-frontend/index.html:2087
spacing,"auto""><input type=""checkbox"" id=""room-show-archived"" onchange=""_restoggleshowarchived('room')""> show archived</label>",1,1,connected-frontend/index.html:2088
spacing,"8px"">equipment",1,1,connected-frontend/index.html:2096
spacing,"auto""><input type=""checkbox"" id=""equip-show-archived"" onchange=""_restoggleshowarchived('equip')""> show archived</label>",1,1,connected-frontend/index.html:2097
spacing,"0"">planning checks</h2>",1,1,connected-frontend/index.html:2124
spacing,"14px""></div>",1,1,connected-frontend/index.html:2128
