router_file,method,full_path,function,line
backend/app/routers/program.py,GET,/api/phases,list_phases,27
backend/app/routers/program.py,GET,/api/program-packages,list_packages,53
backend/app/routers/program.py,POST,/api/program-packages,create_package,77
backend/app/routers/program.py,GET,/api/program-items,list_items,136
backend/app/routers/program.py,GET,/api/program-items/{item_id},get_item,142
backend/app/routers/program.py,POST,/api/program-items,create_item,153
backend/app/routers/program.py,POST,/api/program-items/{item_id}/retire,retire_item,171
backend/app/routers/program.py,GET,/api/learning-hub-resources,list_lh,184
backend/app/routers/program.py,GET,/api/learning-hub-resources/missing,lh_missing,193
backend/app/routers/program.py,GET,/api/program-coverage/squadron,coverage_squadron,201
backend/app/routers/program.py,GET,/api/program-coverage/wing,coverage_wing,220
backend/app/routers/program.py,POST,/api/program-promotion/squadron-to-wing,promote_sq_to_wing,246
backend/app/routers/program.py,GET,/api/program-promotion/requests,list_promotions,259
backend/app/routers/program.py,POST,/api/program-promotion/{req_id}/approve,approve_promotion,266
backend/app/routers/setup.py,GET,/api/setup/status,setup_status,27
backend/app/routers/system.py,GET,/api/system/overview,system_overview,80
backend/app/routers/system.py,GET,/api/system/health,system_health,107
backend/app/routers/system.py,GET,/api/system/version,system_version,128
backend/app/routers/system.py,GET,/api/system/migrations,system_migrations,136
backend/app/routers/system.py,GET,/api/system/maintenance,get_maintenance,167
backend/app/routers/system.py,POST,/api/system/maintenance/enable,enable_maintenance,188
backend/app/routers/system.py,POST,/api/system/maintenance/disable,disable_maintenance,212
backend/app/routers/system.py,GET,/api/system/scope-map,scope_map,228
backend/app/routers/system.py,GET,/api/system/audit-summary,audit_summary,260
backend/app/routers/system.py,GET,/api/system/backups,list_backups,298
backend/app/routers/system.py,POST,/api/system/backups,create_backup,314
backend/app/routers/system.py,GET,/api/system/backups/pg-dump,pg_dump_backup,343
backend/app/routers/system.py,POST,/api/system/bootstrap-staging,bootstrap_staging,430
backend/app/routers/system.py,POST,/api/system/reset-rate-limits,reset_rate_limits,551
backend/app/routers/timing.py,GET,/api/timing-templates,list_timing_templates,236
backend/app/routers/timing.py,POST,/api/timing-templates,create_timing_template,263
backend/app/routers/timing.py,GET,/api/timing-templates/effective,get_effective_template,315
backend/app/routers/timing.py,GET,/api/timing-templates/{tid},get_timing_template,344
backend/app/routers/timing.py,PATCH,/api/timing-templates/{tid},update_timing_template,361
backend/app/routers/timing.py,POST,/api/timing-templates/{tid}/archive,archive_timing_template,407
backend/app/routers/timing.py,POST,/api/timing-templates/{tid}/apply-from-date,apply_from_date,436
backend/app/routers/timing.py,GET,/api/parade-nights/{pnid}/timing,get_parade_timing,495
backend/app/routers/timing.py,POST,/api/parade-nights/{pnid}/timing-override,set_timing_override,539
backend/app/routers/timing.py,DELETE,/api/parade-nights/{pnid}/timing-override,remove_timing_override,598
backend/app/routers/training.py,GET,/api/curriculum,list_curriculum,96
backend/app/routers/training.py,GET,/api/curriculum/export.xlsx,export_curriculum_xlsx,162
backend/app/routers/training.py,GET,/api/curriculum/{cid}/sessions,curriculum_sessions,219
backend/app/routers/training.py,GET,/api/parade-nights,list_parades,235
backend/app/routers/training.py,GET,/api/parade-nights/{pnid},get_parade,252
backend/app/routers/training.py,POST,/api/parade-nights,create_parade,270
backend/app/routers/training.py,POST,/api/sessions,create_session,398
backend/app/routers/training.py,PUT,/api/sessions/{sid},edit_session,414
backend/app/routers/training.py,POST,/api/sessions/{sid}/status,set_status,512
backend/app/routers/training.py,POST,/api/parade-nights/{pnid}/publish,publish,560
backend/app/routers/training.py,POST,/api/parade-nights/{pnid}/close,close,579
backend/app/routers/training.py,GET,/api/facilitators,list_facs,633
backend/app/routers/training.py,POST,/api/facilitators,add_fac,658
backend/app/routers/training.py,GET,/api/facilitators/import/template.csv,facilitator_import_template,712
backend/app/routers/training.py,POST,/api/facilitators/import,import_facilitators_csv,763
backend/app/routers/training.py,PATCH,/api/facilitators/{fid},update_fac,900
backend/app/routers/training.py,GET,/api/facilitators/{fid}/stats,fac_stats,924
backend/app/routers/training.py,GET,/api/training-areas,list_rooms,941
backend/app/routers/training.py,GET,/api/equipment,list_equipment,950
backend/app/routers/training.py,GET,/api/resources/clashes,resource_clashes,959
backend/app/routers/training.py,GET,/api/cadets,list_cadets,983
backend/app/routers/training.py,GET,/api/cadets/risk,cadet_risk,1005
backend/app/routers/training.py,GET,/api/parade-nights/{pnid}/builder,parade_night_builder,1026
backend/app/routers/training.py,DELETE,/api/parade-nights/{pnid},delete_parade,1079
backend/app/routers/training.py,DELETE,/api/facilitators/{fid},delete_fac,1095
backend/app/routers/training.py,POST,/api/training-areas,create_room,1128
backend/app/routers/training.py,PATCH,/api/training-areas/{rid},update_room,1147
backend/app/routers/training.py,DELETE,/api/training-areas/{rid},delete_room,1170
backend/app/routers/training.py,POST,/api/equipment,create_equip,1199
