file,kind,name,line
frontend/src/components/planning/PlanningRightDrawer.tsx,function,handleClick,84
frontend/src/components/planning/PlanningRightDrawer.tsx,function,selectCurriculum,96
frontend/src/components/planning/PlanningRightDrawer.tsx,function,handleSearchKeyDown,106
frontend/src/components/planning/PlanningRightDrawer.tsx,function,clearCurriculum,124
frontend/src/components/planning/PlanningRightDrawer.tsx,function,WingEventPanel,382
frontend/src/components/planning/PlanningRightDrawer.tsx,function,CreateAnchorForm,468
frontend/src/components/planning/PlanningRightDrawer.tsx,function,LocationForm,550
frontend/src/components/planning/PlanningRightDrawer.tsx,function,ScheduleFromBacklogPanel,624
frontend/src/components/planning/PlanningRightDrawer.tsx,exported-function,PlanningRightDrawer,831
frontend/src/components/planning/PlanningRightDrawer.tsx,function,SessionByIdLoader,887
frontend/src/components/planning/SetupPanel.tsx,function,previewDates,7
frontend/src/components/planning/SetupPanel.tsx,function,fmtDate,22
frontend/src/components/planning/SetupPanel.tsx,exported-function,SetupPanel,47
frontend/src/components/planning/UpdateFutureParadeDayModal.tsx,exported-function,UpdateFutureParadeDayModal,14
frontend/src/components/planning/UpdateFutureParadeDayModal.tsx,function,toggleExclude,54
frontend/src/components/planning/views/EightWeekView.tsx,exported-function,EightWeekView,29
frontend/src/components/planning/views/EightWeekView.tsx,function,handleSessionClick,112
frontend/src/components/planning/views/ListView.tsx,function,fmtHuman,9
frontend/src/components/planning/views/ListView.tsx,function,fmtHumanRange,13
frontend/src/components/planning/views/ListView.tsx,function,findCell,45
frontend/src/components/planning/views/ListView.tsx,function,fmt,58
frontend/src/components/planning/views/ListView.tsx,function,filterActivitiesByRange,66
frontend/src/components/planning/views/ListView.tsx,exported-function,ListView,96
frontend/src/components/planning/views/ParadeNightGridView.tsx,function,computeConflicts,20
frontend/src/components/planning/views/ParadeNightGridView.tsx,function,sessionForCell,92
frontend/src/components/planning/views/ParadeNightGridView.tsx,function,AddNoticeForm,106
frontend/src/components/planning/views/ParadeNightGridView.tsx,function,NoticeRow,154
frontend/src/components/planning/views/ParadeNightGridView.tsx,exported-function,ParadeNightGridView,194
frontend/src/components/planning/views/ParadeNightGridView.tsx,const-arrow,dateLabel,215
frontend/src/components/planning/views/TermView.tsx,function,fmtDay,11
frontend/src/components/planning/views/TermView.tsx,function,fmtTermRange,16
frontend/src/components/planning/views/TermView.tsx,function,anchorsOnDate,34
frontend/src/components/planning/views/TermView.tsx,exported-function,TermView,38
frontend/src/components/planning/views/TwoWeekView.tsx,exported-function,TwoWeekView,11
frontend/src/components/planning/views/YearView.tsx,function,fmtDay,22
frontend/src/components/planning/views/YearView.tsx,function,fmtYearRange,27
frontend/src/components/planning/views/YearView.tsx,function,anchorsOnDate,34
frontend/src/components/planning/views/YearView.tsx,exported-function,YearView,38
frontend/src/components/planning/views/YearView.tsx,function,toggleTerm,74
frontend/src/components/status/StatusBadge.tsx,exported-function,StatusBadge,17
frontend/src/components/status/StatusBadge.tsx,exported-function,DecisionBadge,21
frontend/src/components/ui.tsx,exported-function,Card,4
frontend/src/components/ui.tsx,exported-function,Stat,12
frontend/src/components/ui.tsx,exported-function,Empty,15
frontend/src/components/ui.tsx,exported-function,Loading,16
frontend/src/components/ui.tsx,exported-function,Bar,17
frontend/src/components/ui.tsx,exported-function,ErrorNote,31
frontend/src/components/ui.tsx,exported-function,Button,35
frontend/src/layout/AppShell.tsx,exported-function,AppShell,17
frontend/src/layout/AppShell.tsx,const-arrow,applyTheme,21
frontend/src/layout/AppShell.tsx,function,NavItem,155
frontend/src/layout/ProxyControls.tsx,exported-function,ProxyControls,9
frontend/src/layout/SquadronSelector.tsx,exported-function,SquadronSelector,12
frontend/src/layout/SquadronViewContext.tsx,exported-function,SquadronViewProvider,17
frontend/src/layout/SquadronViewContext.tsx,exported-function,useSquadronView,22
frontend/src/layout/SquadronViewContext.tsx,exported-function,useScopedSquadron,34
frontend/src/routes/Accounts.tsx,function,NewCodeModal,24
frontend/src/routes/Accounts.tsx,const-arrow,copy,26
frontend/src/routes/Accounts.tsx,exported-function,Accounts,49
frontend/src/routes/Accounts.tsx,const-arrow,sqnsForWing,158
frontend/src/routes/Accounts.tsx,const-arrow,flightsForSqn,159
frontend/src/routes/Accounts.tsx,const-arrow,openEdit,165
frontend/src/routes/ActionItems.tsx,exported-function,ActionItems,9
frontend/src/routes/ActionItems.tsx,function,AddActionModal,42
frontend/src/routes/Admin.tsx,exported-function,Admin,8
frontend/src/routes/Audit.tsx,exported-function,Audit,7
frontend/src/routes/Cadets.tsx,exported-function,Cadets,7
frontend/src/routes/Calendar.tsx,exported-function,Calendar,13
frontend/src/routes/Curriculum.tsx,exported-function,Curriculum,10
frontend/src/routes/Curriculum.tsx,function,CurriculumDrill,74
frontend/src/routes/Dashboard.tsx,exported-function,Dashboard,33
frontend/src/routes/Dashboard.tsx,const-arrow,chartRow,68
frontend/src/routes/Dashboard.tsx,function,NotDeliveredDrill,205
frontend/src/routes/FacilitatorSchedule.tsx,exported-function,FacilitatorSchedule,17
frontend/src/routes/Facilitators.tsx,exported-function,Facilitators,15
frontend/src/routes/Facilitators.tsx,function,TagInput,95
frontend/src/routes/Facilitators.tsx,const-arrow,commit,104
frontend/src/routes/Facilitators.tsx,const-arrow,remove,113
frontend/src/routes/Facilitators.tsx,const-arrow,onKeyDown,115
frontend/src/routes/Facilitators.tsx,const-arrow,onInputChange,124
