file,kind,name,line,visibility
backend/app/routers/accounts.py,function,archive_flight,719,public
backend/app/routers/accounts.py,function,_flight_out,734,private
backend/app/routers/auth.py,class,LoginIn,28,
backend/app/routers/auth.py,class,LookupIn,33,
backend/app/routers/auth.py,class,ChangeCodeIn,39,
backend/app/routers/auth.py,function,lookup,45,public
backend/app/routers/auth.py,function,login,91,public
backend/app/routers/auth.py,function,_raise_if_locked,150,private
backend/app/routers/auth.py,function,logout,161,public
backend/app/routers/auth.py,function,me,169,public
backend/app/routers/auth.py,function,refresh,179,public
backend/app/routers/auth.py,function,change_code,200,public
backend/app/routers/auth.py,function,list_organisations,242,public
backend/app/routers/auth.py,function,_me,269,private
backend/app/routers/dashboard.py,function,_scope,58,private
backend/app/routers/dashboard.py,function,_sqn_ids_for_wing,66,private
backend/app/routers/dashboard.py,function,_wing_ids_for_national,75,private
backend/app/routers/dashboard.py,function,_date_window,87,private
backend/app/routers/dashboard.py,function,_iso_week,100,private
backend/app/routers/dashboard.py,function,_weekly_outcomes,109,private
backend/app/routers/dashboard.py,function,_delivery_trend,152,private
backend/app/routers/dashboard.py,method,_week_start,174,private
backend/app/routers/dashboard.py,function,_curriculum_progress,220,private
backend/app/routers/dashboard.py,function,_curriculum_backlog,275,private
backend/app/routers/dashboard.py,function,_cancellation_reasons,333,private
backend/app/routers/dashboard.py,function,_facilitator_workload,392,private
backend/app/routers/dashboard.py,function,_facilitator_status_distribution,446,private
backend/app/routers/dashboard.py,function,_facilitator_repeated_gaps,492,private
backend/app/routers/dashboard.py,function,_facilitator_leave_impact,533,private
backend/app/routers/dashboard.py,function,_session_to_readiness_dict,584,private
backend/app/routers/dashboard.py,function,_tonight_readiness,597,private
backend/app/routers/dashboard.py,function,_session_outcomes_distribution,694,private
backend/app/routers/dashboard.py,function,_upcoming_readiness,739,private
backend/app/routers/dashboard.py,function,_squadron_readiness,801,private
backend/app/routers/dashboard.py,function,_squadron_delivery_comparison,859,private
backend/app/routers/dashboard.py,function,_wing_subject_area_gaps,912,private
backend/app/routers/dashboard.py,function,_wing_readiness_comparison,968,private
backend/app/routers/dashboard.py,function,_command_child_units,1042,private
backend/app/routers/dashboard.py,function,_unit_session_filter,1055,private
backend/app/routers/dashboard.py,function,_unit_pns_and_sessions,1062,private
backend/app/routers/dashboard.py,function,_next_unit_readiness,1075,private
backend/app/routers/dashboard.py,function,_unit_readiness_trend,1095,private
backend/app/routers/dashboard.py,function,_matrix_cell,1127,private
backend/app/routers/dashboard.py,function,_readiness_matrix,1151,private
backend/app/routers/dashboard.py,function,_risk_forecast,1238,private
backend/app/routers/dashboard.py,function,_immediate_issues,1376,private
backend/app/routers/dashboard.py,function,_command_weekly_delivered,1416,private
backend/app/routers/dashboard.py,function,_command_reliability_trend,1429,private
backend/app/routers/dashboard.py,function,_outcomes_by_unit,1447,private
backend/app/routers/dashboard.py,function,_cancellation_pareto,1497,private
backend/app/routers/dashboard.py,function,_facilitator_capability_dependency,1552,private
backend/app/routers/dashboard.py,function,_subject_area_resilience,1595,private
backend/app/routers/dashboard.py,function,_long_term_delivery_trend,1638,private
backend/app/routers/dashboard.py,function,_full_squadron_charts,1684,private
backend/app/routers/dashboard.py,function,_view_squadron_id_for_dashboard,1748,private
backend/app/routers/dashboard.py,function,_wing_comparison_charts,1768,private
