context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
contrast-more,components.css,.err,#e51937,#ffffff,12.0,700,False,4.5,4.64,PASS,assumed --background,yes
light,components.css,.badge.muted,#657380,#ffffff,13.0,400,False,4.5,4.86,PASS,assumed --surface,no
light,components.css,.badge.muted,#657380,#f4f8fc,13.0,400,False,4.5,4.56,PASS,assumed --background,no
dark,components.css,.badge.muted,#9fb2c6,#0f1c30,13.0,400,False,4.5,7.86,PASS,assumed --surface,no
dark,components.css,.badge.muted,#9fb2c6,#081426,13.0,400,False,4.5,8.48,PASS,assumed --background,no
hc,components.css,.badge.muted,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --surface,no
hc,components.css,.badge.muted,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --background,no
contrast-more,components.css,.badge.muted,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --surface,no
contrast-more,components.css,.badge.muted,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --background,no
light,components.css,.badge.purple,#7c3aed,#ffffff,13.0,400,False,4.5,5.7,PASS,assumed --surface,no
light,components.css,.badge.purple,#7c3aed,#f4f8fc,13.0,400,False,4.5,5.34,PASS,assumed --background,no
dark,components.css,.badge.purple,#7c3aed,#0f1c30,13.0,400,False,4.5,3.0,FAIL,assumed --surface,no
dark,components.css,.badge.purple,#7c3aed,#081426,13.0,400,False,4.5,3.24,FAIL,assumed --background,no
hc,components.css,.badge.purple,#44007a,#ffffff,13.0,400,False,4.5,13.75,PASS,assumed --surface,no
hc,components.css,.badge.purple,#44007a,#ffffff,13.0,400,False,4.5,13.75,PASS,assumed --background,no
contrast-more,components.css,.badge.purple,#7c3aed,#ffffff,13.0,400,False,4.5,5.7,PASS,assumed --surface,no
contrast-more,components.css,.badge.purple,#7c3aed,#ffffff,13.0,400,False,4.5,5.7,PASS,assumed --background,no
light,components.css,.stat .hint,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,components.css,.stat .hint,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,components.css,.stat .hint,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,components.css,.stat .hint,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,components.css,.stat .hint,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,components.css,.stat .hint,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,components.css,.stat .hint,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,components.css,.stat .hint,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,components.css,.muted,#657380,#ffffff,13.0,400,False,4.5,4.86,PASS,assumed --surface,no
light,components.css,.muted,#657380,#f4f8fc,13.0,400,False,4.5,4.56,PASS,assumed --background,no
dark,components.css,.muted,#9fb2c6,#0f1c30,13.0,400,False,4.5,7.86,PASS,assumed --surface,no
dark,components.css,.muted,#9fb2c6,#081426,13.0,400,False,4.5,8.48,PASS,assumed --background,no
hc,components.css,.muted,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --surface,no
hc,components.css,.muted,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --background,no
contrast-more,components.css,.muted,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --surface,no
contrast-more,components.css,.muted,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --background,no
light,components.css,.errnote,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,yes
dark,components.css,.errnote,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,yes
hc,components.css,.errnote,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,yes
contrast-more,components.css,.errnote,#8a0f22,#fdecee,13.0,400,False,4.5,8.48,PASS,same-rule,yes
light,components.css,"html[data-theme=""dark""] .errnote",#ffb4be,#3a1620,13.0,400,False,4.5,9.52,PASS,same-rule,no
dark,components.css,"html[data-theme=""dark""] .errnote",#ffb4be,#3a1620,13.0,400,False,4.5,9.52,PASS,same-rule,no
hc,components.css,"html[data-theme=""dark""] .errnote",#ffb4be,#3a1620,13.0,400,False,4.5,9.52,PASS,same-rule,no
contrast-more,components.css,"html[data-theme=""dark""] .errnote",#ffb4be,#3a1620,13.0,400,False,4.5,9.52,PASS,same-rule,no
light,components.css,.okmsg,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,yes
dark,components.css,.okmsg,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,yes
hc,components.css,.okmsg,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,yes
contrast-more,components.css,.okmsg,#0f5a33,#e8f5ee,13.0,400,False,4.5,7.4,PASS,same-rule,yes
