frontend,context,state,selector,foreground,background,kind,ratio,required,result,how
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-warn,#a86600,#6a3800,text,2.1,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-warn,#6a3800,#6a3800,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,default,resting,.fts-item.fts-warn,#a86600,#6a3800,text,2.1,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,default,resting,.fts-item.fts-warn,#6a3800,#6a3800,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-red,#cc0011,#cc0011,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,default,resting,.fts-item.fts-red,#cc0011,#cc0011,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-blue,#004b8d,#004b8d,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-blue,#004b8d,#004b8d,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,default,resting,.fts-item.fts-blue,#004b8d,#004b8d,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,default,resting,.fts-item.fts-blue,#004b8d,#004b8d,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-purple,#44007a,#44007a,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.fts-item.fts-purple,#44007a,#44007a,boundary-advisory,1.0,3.0,FAIL,same-rule
Planning WS,default,resting,.fts-item.fts-purple,#44007a,#44007a,text,1.0,4.5,FAIL,same-rule; size unknown - assumed body
Planning WS,default,resting,.fts-item.fts-purple,#44007a,#44007a,boundary-advisory,1.0,3.0,FAIL,same-rule
