frontend,context,state,selector,foreground,background,kind,ratio,required,result,how
Planning WS,(prefers-contrast: more),resting,.pw-date-cell.holiday,#FFB74D,#FFF3E0,boundary-advisory,1.58,3.0,FAIL,same-rule
Planning WS,default,resting,.pw-date-cell.holiday,#FFB74D,#FFF3E0,boundary-advisory,1.58,3.0,FAIL,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-anchor-pill.must_attend,#8A0F22,#FDECEE,text,8.48,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-anchor-pill.must_attend,#cc0011,#FDECEE,boundary-advisory,5.15,3.0,PASS,same-rule
Planning WS,default,resting,.pw-anchor-pill.must_attend,#8A0F22,#FDECEE,text,8.48,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-anchor-pill.must_attend,#cc0011,#FDECEE,boundary-advisory,5.15,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-anchor-pill.key_event,#0F5A33,#E8F5EE,text,7.4,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-anchor-pill.key_event,#004d24,#E8F5EE,boundary-advisory,8.97,3.0,PASS,same-rule
Planning WS,default,resting,.pw-anchor-pill.key_event,#0F5A33,#E8F5EE,text,7.4,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-anchor-pill.key_event,#004d24,#E8F5EE,boundary-advisory,8.97,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-anchor-pill.wing,#004B8D,#EBF5FF,text,7.96,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-anchor-pill.wing,#000099,#EBF5FF,boundary-advisory,13.04,3.0,PASS,same-rule
Planning WS,default,resting,.pw-anchor-pill.wing,#004B8D,#EBF5FF,text,7.96,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-anchor-pill.wing,#000099,#EBF5FF,boundary-advisory,13.04,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-sess-mini.conflict-room,#cc0011,#FFF5F5,boundary-advisory,5.49,3.0,PASS,same-rule
Planning WS,default,resting,.pw-sess-mini.conflict-room,#cc0011,#FFF5F5,boundary-advisory,5.49,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-sess-mini.conflict-fac,#6a3800,#FFFBF0,boundary-advisory,9.32,3.0,PASS,same-rule
Planning WS,default,resting,.pw-sess-mini.conflict-fac,#6a3800,#FFFBF0,boundary-advisory,9.32,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-conflict-badge.fac,#7A3A00,#FFF3E0,text,7.87,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-conflict-badge.fac,#7A3A00,#FFF3E0,text,7.87,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-conflict-badge.load,#5A4000,#FFF8E1,text,9.12,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-conflict-badge.load,#5A4000,#FFF8E1,text,9.12,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pn-cell-inner.break-cell,#3a3a3a,#F5F5F5,text,10.43,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pn-cell-inner.break-cell,#303030,#F5F5F5,text,12.11,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),hover,.pn-add-btn:hover,#000044,#EBF5FF,text,17.57,4.5,PASS,same-rule; 11px body
Planning WS,default,hover,.pn-add-btn:hover,#000044,#EBF5FF,text,17.57,4.5,PASS,same-rule; 11px body
Planning WS,(prefers-contrast: more),resting,".pw-drawer-form input, .pw-drawer-form select, .pw-drawer-form textarea",#000000,#ffffff,text,21.0,4.5,PASS,same-rule; 12px body
Planning WS,default,resting,".pw-drawer-form input, .pw-drawer-form select, .pw-drawer-form textarea",#000000,#ffffff,text,21.0,4.5,PASS,same-rule; 12px body
Planning WS,(prefers-contrast: more),resting,.pw-conflict-alert.warn,#F57C00,#FFF3E0,boundary-advisory,2.47,3.0,FAIL,same-rule
Planning WS,default,resting,.pw-conflict-alert.warn,#F57C00,#FFF3E0,boundary-advisory,2.47,3.0,FAIL,same-rule
